T3FJH,0,100,100,v004
T3FJH,292,446,154,v004
T3FJH,0,225,225,v029
T3FJH,0,743,743,v008
T3FJH,400,568,168,v019
T3FJH,0,743,743,v008
T3FJH,0,743,743,v008
T3FJH,0,393,393,v031
D1O6N,31,177,146,v031
D1O6N,460,703,243,v019
D1O6N,460,708,248,v009
D1O6N,432,614,182,v010
D1O6N,403,744,341,v008
D1O6N,403,744,341,v018
2C6ER,333,768,435,v001
2C6ER,333,768,435,v001
NPEA3,580,731,151,v006
NPEA3,0,194,194,v018
NPEA3,554,717,163,v001
NPEA3,0,160,160,v008
NPEA3,477,602,125,v016
NPEA3,295,525,230,v025
4986V,0,537,537,v031
4986V,0,747,747,v018
4986V,0,747,747,v032
4986V,0,747,747,v032
4986V,0,747,747,v031
4986V,400,724,324,v020
YAXGX,117,631,514,v012
YAXGX,160,352,192,v019
YAXGX,153,338,185,v019
YAXGX,153,379,226,v009
YAXGX,112,638,526,v031
YAXGX,528,700,172,v023
YAXGX,69,698,629,v008
YAXGX,508,638,130,v001
TAGC0,31,578,547,v008
TAGC0,31,578,547,v026
TAGC0,576,924,348,v008
TAGC0,487,672,185,v023
TAGC0,636,924,288,v024
TAGC0,36,588,552,v026
MLK57,472,614,142,v012
MLK57,0,415,415,v010
MLK57,453,631,178,v025
MLK57,480,631,151,v022
MLK57,110,271,161,v021
MLK57,309,453,144,v000
MLK57,504,631,127,v023
MLK57,324,559,235,v000
UNOW9,201,769,568,v008
UNOW9,213,405,192,v023
UNOW9,163,336,173,v016
UNOW9,0,552,552,v028
UNOW9,278,547,269,v028
UNOW9,194,314,120,v025
UNOW9,314,444,130,v025
UNOW9,194,314,120,v025
P9R08,292,782,490,v019
P9R08,345,768,423,v008
P9R08,331,530,199,v016
P9R08,228,465,237,v031
P9R08,374,549,175,v016
P9R08,312,432,120,v006
P9R08,345,492,147,v008
P9R08,561,698,137,v023
1LARL,55,168,113,v001
1LARL,40,160,120,v012
1LARL,105,732,627,v008
1LARL,86,244,158,v023
1LARL,117,453,336,v019
1LARL,362,484,122,v018
1LARL,84,206,122,v023
1LARL,91,732,641,v008
1LARL,388,732,344,v018
1LARL,163,348,185,v012
YFPHS,398,556,158,v012
YFPHS,0,731,731,v031
YFPHS,0,468,468,v026
YFPHS,194,321,127,v016
YFPHS,364,501,137,v016
X2Q00,628,867,239,v008
X2Q00,0,650,650,v031
X2Q00,33,230,197,v005
X2Q00,0,117,117,v008
X2Q00,0,122,122,v014
X2Q00,0,867,867,v018
X2Q00,580,741,161,v023
X2Q00,0,867,867,v008
X2Q00,568,811,243,v031
X2Q00,0,624,624,v014
MNJWH,0,331,331,v008
MNJWH,43,290,247,v008
MNJWH,105,235,130,v009
MNJWH,0,69,69,v022
MNJWH,595,731,136,v019
MNJWH,19,386,367,v019
71J7E,357,759,402,v026
71J7E,88,297,209,v008
71J7E,187,448,261,v016
71J7E,88,439,351,v023
SPJIE,14,648,634,v009
SPJIE,0,648,648,v008
SPJIE,0,648,648,v031
